지점명,매장주소
대구성서,대구광역시 달서구 이곡공원로1길 108
대구용산,대구광역시 달서구 달구벌대로 1565 (죽전동)
상인,대구광역시 달서구 월배로 52
월성,대구광역시 달서구 조암로 85-1
대구다사,대구광역시 달성군 다사읍 왕선로 54 (매곡리)
대구현풍,"대구광역시 달성군 현풍면 테크노대로 24, 1층 108,109호(테크노플라자1)"
대구화원,대구광역시 달성군 화원읍 명천로 255
대구이시아폴리스,"대구광역시 동구 팔공로 241  1층 111호, 112호(봉무동)"
반야월,대구광역시 동구 경안로 799
산격,대구광역시 북구 동북로 138-1 (산격동)
칠곡,대구광역시 북구 구암로 139-1 (동천동)
침산,"대구광역시 북구 침산남로 165-2, 1층 (침산동)"
대구시지,대구광역시 수성구 달구벌대로 3076 (시지동)
만촌,"대구광역시 수성구 무열로 113-1, 1층"
범어,"대구광역시 수성구 동대구로 240, 상가 106호 (범어동, 청구푸른마을아파트)"
지산범물,대구광역시 수성구 지범로 11  1층
대구대봉,대구광역시 중구 동덕로 86 (대봉동)
대구중앙,대구광역시 중구 달구벌대로 1965 (대신동)
광양서천,전라남도 광양시 광양읍 서북로 14  1층
광양,전라남도 광양시 사동로 93-1 (중동)
나주,전라남도 나주시 나주로 208 (성북동)
목포북항,전라남도 목포시 청호로 175
목포하당,전라남도 목포시 백년대로 393
무안남악,전라남도 무안군 삼향읍 남악5로72번길 24 (남악리)
순천신대,전라남도 순천시 해룡면 매안4길 32  1층
순천조례,전라남도 순천시 이수로 284 (조례동)
순천중앙,전라남도 순천시 중앙로 181 (매곡동)
여수문수,전라남도 여수시 문수로 76 (문수동)
여천,전라남도 여수시 도원로 277 (학동)
화순,전라남도 화순군 화순읍 만연로 37    1층
고창,전라북도 고창군 고창읍 월곡로 38
군산,"전라북도 군산시 백토로 142, A동 101호 (나운동)"
김제,전라북도 김제시 동서로 284
남원,전라북도 남원시 용성로 166  1층
완주,전라북도 완주군 봉동읍 과학로 997  1동 1층 103호
익산모현,전라북도 익산시 군익로 499  (송학동)
익산영등,전라북도 익산시 고봉로 18길 1(영등동)
전주금암,"전라북도 전주시 덕진구 백제대로 658 (금암동, 도미노피자)"
전주서신,전라북도 전주시 완산구 전룡로 32 (서신동)
전주송천,전라북도 전주시 덕진구 송천중앙로 56 (송천동1가)
전주인후,전라북도 전주시 덕진구 견훤로 146 (인후동1가)
전주혁신,전라북도 전주시 덕진구 기지로 82  대방빌딩 102호
전주효자,"전라북도 전주시 완산구 백제대로 133 (효자동1가, 도미노피자)"
정읍,전라북도 정읍시 우암로 88 (장명동)
광주광산,광주광역시 광산구 목련로 138 (월곡동)
광주송정,광주광역시 광산구 상무대로 305 (소촌동)
광주첨단,광주광역시 광산구 월계로 223-7
광주주월,"광주광역시 남구 봉선로 2, 1층 (주월동, 창신빌딩)"
광주진월,광주광역시 남구 효덕로 310  1층
광주금남로,광주광역시 동구 중앙로 214 (궁동)
광주문흥,광주광역시 북구 서하로 339 (문흥동)
광주양산,광주광역시 북구 하서로 344 (양산동)
광주운암,광주광역시 북구 서암대로 28  1층
